ray_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
73,1162,0.1320454478263855,0.28377270698547363,56.61012268066406,0.5067124962806702
74,1259,0.14306817948818207,0.2311011701822281,61.71305847167969,0.4416801631450653
75,1337,0.15193182229995728,0.2775842547416687,59.72671890258789,0.4665180444717407
76,996,0.11318181455135345,0.2102358192205429,54.03312301635742,0.53984135389328
77,1280,0.145454540848732,0.2943877875804901,57.775169372558594,0.49365320801734924
78,1161,0.13193181157112122,0.2615135908126831,58.33131408691406,0.489457905292511
79,1163,0.13215908408164978,0.2524932026863098,56.29890441894531,0.5105172395706177
80,1428,0.16227272152900696,0.3294605612754822,55.35603713989258,0.5276071429252625
81,998,0.11340909451246262,0.21738722920417786,59.65244674682617,0.47062745690345764
82,1322,0.15022727847099304,0.26937735080718994,55.1491584777832,0.5219426155090332
83,1247,0.14170454442501068,0.2698715031147003,57.49549102783203,0.4979885220527649
84,1199,0.13625000417232513,0.2094627469778061,55.124237060546875,0.5328527688980103
85,1355,0.15397727489471436,0.30218571424484253,57.55299758911133,0.4993074834346771
86,1135,0.12897726893424988,0.2485911250114441,55.845035552978516,0.5185559391975403
87,1229,0.1396590918302536,0.22063611447811127,55.415836334228516,0.5288257002830505
88,1420,0.1613636314868927,0.30006006360054016,62.7759895324707,0.4273488521575928
89,933,0.10602273046970367,0.17781782150268555,58.34629440307617,0.48907098174095154
90,1284,0.14590908586978912,0.30803805589675903,51.69666290283203,0.5707359910011292
91,1182,0.13431818783283234,0.2593638002872467,57.160465240478516,0.501787006855011
92,1208,0.13727273046970367,0.2647956311702728,56.017822265625,0.5125017166137695
93,1416,0.16090908646583557,0.30975276231765747,57.12540817260742,0.5043439865112305
94,1158,0.13159090280532837,0.2919750213623047,59.226078033447266,0.47778114676475525
95,1288,0.14636363089084625,0.2279861718416214,55.982872009277344,0.5223498344421387
96,1353,0.1537500023841858,0.2718088924884796,58.2949333190918,0.48197731375694275
97,1003,0.11397727578878403,0.20533479750156403,56.23897933959961,0.5139626264572144
98,1301,0.14784090220928192,0.2926645576953888,58.088802337646484,0.48778828978538513
99,1082,0.12295454740524292,0.23414550721645355,59.686100006103516,0.47292962670326233
100,1185,0.13465909659862518,0.2226906716823578,58.79977035522461,0.4846931993961334
101,1481,0.1682954579591751,0.28974610567092896,59.90684509277344,0.46917328238487244
102,935,0.10625000298023224,0.1864607185125351,56.43593978881836,0.5155954360961914
103,1285,0.1460227221250534,0.27269572019577026,59.533206939697266,0.4697670638561249
104,1255,0.14261363446712494,0.29964789748191833,59.019752502441406,0.47754067182540894
105,1187,0.13488636910915375,0.1852477639913559,56.52252197265625,0.510810375213623
106,1417,0.16102272272109985,0.30022957921028137,57.8125,0.4963415861129761
107,1152,0.13090908527374268,0.2837749719619751,54.30348587036133,0.5446121692657471
108,1258,0.14295454323291779,0.1974019706249237,58.70820999145508,0.48349982500076294
109,1462,0.16613636910915375,0.34176161885261536,60.51670837402344,0.45783981680870056
110,982,0.1115909069776535,0.21933047473430634,63.9185905456543,0.4076043665409088
111,1273,0.14465908706188202,0.30377236008644104,64.46990203857422,0.40160927176475525
112,1218,0.1384090930223465,0.267331600189209,57.51429748535156,0.49461331963539124
113,1217,0.13829545676708221,0.23828357458114624,58.52677536010742,0.48328590393066406
114,1463,0.16625000536441803,0.290616899728775,59.828216552734375,0.4716796576976776
115,1080,0.12272727489471436,0.20920628309249878,55.44045639038086,0.528594434261322
116,1306,0.14840908348560333,0.26230430603027344,57.87762451171875,0.4947335422039032
117,1374,0.15613636374473572,0.2826927900314331,59.6403694152832,0.47344809770584106
118,1220,0.13863636553287506,0.2647499144077301,62.43742370605469,0.4344438314437866
119,1376,0.15636363625526428,0.2926854193210602,54.68855667114258,0.538463830947876
120,1074,0.12204545736312866,0.22783644497394562,55.28546142578125,0.5285941958427429
121,1210,0.13750000298023224,0.1909167766571045,55.92576217651367,0.5135380029678345
122,1500,0.17045454680919647,0.3065187335014343,56.83991622924805,0.5048530101776123
123,920,0.10454545170068741,0.16210559010505676,61.41550064086914,0.44146373867988586
124,1252,0.1422727257013321,0.2808837890625,58.47669219970703,0.48253414034843445
125,1258,0.14295454323291779,0.2761920690536499,58.325523376464844,0.4849245548248291
126,1210,0.13750000298023224,0.19805975258350372,56.118499755859375,0.5185042023658752
127,1478,0.16795454919338226,0.28958141803741455,53.77358627319336,0.5457673668861389
128,1021,0.11602272838354111,0.2583387494087219,58.07897186279297,0.4892556667327881
129,1282,0.14568181335926056,0.22076386213302612,55.816925048828125,0.5188040733337402
130,1473,0.16738636791706085,0.28758853673934937,59.16532897949219,0.4729633629322052
